,dice_y
0,0.6073338661093011
1,0.37836485852743473
2,0.574096156285678
3,0.6772063933287005
4,0.6309244695058615
5,0.6997045499310617
6,0.6298774446600888
7,0.6392570378252878
8,0.42838916268481225
9,0.677995917486765
10,0.6685964559001208
11,0.30643078006967006
12,0.3647369722847807
13,0.6615809591109113
14,0.6025412627718103
15,0.6006185829084695
16,0.20140339425587467
17,0.6679439443781706
18,0.6463281939682605
19,0.7110914092752187
20,0.6360373096059762
21,0.5647701095017198
22,0.6873457319729148
23,0.6159431419914266
24,0.233836737409354
25,0.5316126045313811
26,0.6521304926764314
27,0.6517916268118608
28,0.6308062646735416
29,0.47464653397391904
30,0.6057173869441593
31,0.7589386261261262
32,0.35018167137666534
33,0.0812260315446498
34,0.6325045391113845
35,0.7056558303623558
36,0.4129414775635557
37,0.5254484933041845
38,0.3383800354972301
39,0.4464786295206783
40,0.2654331284564947
41,0.5359040059996251
42,0.47767945716439825
43,0.5853351395699377
44,0.4254426628163234
45,0.6978230563002681
46,0.6259946250724562
47,0.5576966912731672
48,0.4024274710639408
49,0.6736565055120488
50,0.5598232602177686
51,0.18418096334410497
52,0.6013404825737265
53,0.7269559265078797
54,0.6671579201221881
55,0.7010114433370247
56,0.6078515297300073
57,0.5677637130801688
58,0.6800961224671433
59,0.6035232681969233
60,0.5388024753303228
61,0.6670322618283647
62,0.5517871480384285
63,0.23506922037282812
64,0.6739683638362411
65,0.5990811461035667
66,0.6210850568931917
67,0.5315865409388365
68,0.6161837488316504
69,0.19979089440167286
70,0.7040289441842077
71,0.20429819070613134
72,0.44813447490377817
73,0.5768766745530608
74,0.7462418797112144
75,0.5996484246720883
76,0.6637457856247048
77,0.555182350457941
78,0.26325319225985233
79,0.6072013580724901
80,0.6289754732267806
81,0.5713661261901184
82,0.5468664522929537
83,0.3320703533886686
84,0.7355500730321218
85,0.5419724868325786
86,0.6976715351997421
87,0.08452790441236978
88,0.6840008189363277
89,0.3569061184970022
90,0.6305291787946748
91,0.6726961546312434
92,0.546371101471193
93,0.7079637531763916
94,0.6271236137222098
95,0.6640276761359857
96,0.5967915221956341
97,0.42121865458912733
98,0.35249030491977795
99,0.6936366294043128
100,0.5318556753200749
101,0.5895489271879011
102,0.12633668058888
103,0.5882068787839753
104,0.6458467406948036
105,0.20717079530638852
106,0.621400343499358
107,0.7356653877980892
108,0.5739535375985606
109,0.22208302488468765
110,0.18610917074144298
111,0.7226527461216087
112,0.6618343665553966
113,0.6893056259503294
114,0.7208761122518823
115,0.739131608063254
116,0.7050685572212786
117,0.6344350399268913
118,0.5749393964724567
119,0.356325048869031
120,0.6229993173025866
121,0.5096676391510783
122,0.6368432406989742
123,0.6649048625792812
124,0.48520126282557224
125,0.5521550935804426
126,0.6724252003234581
127,0.6752109366655986
128,0.593737625577473
129,0.6524422245145411
130,0.538530190188958
131,0.5964638673695988
132,0.5553593204659182
133,0.4329192546583851
134,0.12687849808294038
135,0.5491813641823124
136,0.3406179100493794
137,0.5977213215220903
138,0.5175879396984925
139,0.5421973619562341
140,0.3829602888086643
141,0.6633346148917083
142,0.6926890384179204
143,0.2519076748439175
144,0.6719467629786569
145,0.4512569967968421
146,0.6230491442926676
147,0.5892346647063628
148,0.4460224546588619
149,0.4108204424681079
150,0.6696074850383524
151,0.259490310591983
152,0.5374311284727283
153,0.6421652494950925
154,0.08873867839957135
155,0.7264706884218415
156,0.6800312927831019
157,0.6754332987681895
158,0.7208894731076788
159,0.5009815950920246
160,0.5812299341930219
161,0.43513836212951257
162,0.70573600552868
163,0.5055025678650037
164,0.6624441322947261
165,0.60473720722804
166,0.6140125667184649
167,0.5108415629025332
168,0.3960914782699814
169,0.5813012458737089
170,0.618942699557898
171,0.4995530272247054
172,0.0699983878768338
173,0.28171478565179353
174,0.2897639736242066
175,0.5919780596503257
176,0.37912543534744875
177,0.5859066670683578
178,0.6494452099499601
179,0.6078330516569918
180,0.5629454472790248
181,0.6027901625197757
182,0.21314934521217804
